
DECIMAL       HEXADECIMAL     DESCRIPTION
661512        0xA1808         Intel x86 or x64 microcode, sig 0xf9000400, pf_mask 0x1010000, 9200-04-31, rev 0x4000400, size 327680
661574        0xA1846         Intel x86 or x64 microcode, sig 0xff000200, pf_mask 0x1010001, 8600-02-31, rev 0x2000200, size 184877056
661663        0xA189F         Intel x86 or x64 microcode, pf_mask 0x301f400, 0003-00-00, rev 0x0002, size 22348202
661698        0xA18C2         Intel x86 or x64 microcode, sig 0xf9000000, pf_mask 0x1000000, 9200-00-31, size 117442053
661751        0xA18F7         Intel x86 or x64 microcode, sig 0x0100888f, pf_mask 0x31920004, 0400-07-04, size 73209
661919        0xA199F         Intel x86 or x64 microcode, pf_mask 0x301f400, 0003-00-00, rev 0x0002, size 16777557
661954        0xA19C2         Intel x86 or x64 microcode, sig 0xf9000000, pf_mask 0x1000000, 9200-00-31, size 117442053
662007        0xA19F7         Intel x86 or x64 microcode, sig 0x06100a0a, pf_mask 0xc0a0c0e, 0A00-0A-0A, size 2048
662438        0xA1BA6         Intel x86 or x64 microcode, sig 0x0007c018, pf_mask 0xffff00, 0C06-15-0F, size 2048
662872        0xA1D58         Intel x86 or x64 microcode, sig 0x04200000, pf_mask 0x70240, D287-00-01, rev 0x50240, size 8912896
662882        0xA1D62         Intel x86 or x64 microcode, sig 0x02400000, pf_mask 0x60088, D2E5-00-01, rev 0x40420, size 37750784
662892        0xA1D6C         Intel x86 or x64 microcode, sig 0x00880000, pf_mask 0x50240, D34D-00-01, rev 0x70240, size 69210112
662902        0xA1D76         Intel x86 or x64 microcode, sig 0x02400800, pf_mask 0x40420, D369-00-01, rev 0x60088, size 37750784
663056        0xA1E10         Broadcom firmware header Corporatio . Model: ÷. Firmware version: ì.
663237        0xA1EC5         Intel x86 or x64 microcode, sig 0x30003000, pf_mask 0x00, 6000-60-00, rev 0x3ff00, size 2048
663381        0xA1F55         Intel x86 or x64 microcode, sig 0x30000000, pf_mask 0x3001fe01, 0000-00-00, rev 0x3ff00, size 12288
663479        0xA1FB7         Intel x86 or x64 microcode, sig 0xff000000, pf_mask 0x00, 0000-00-00, size 2048
663522        0xA1FE2         Broadcom firmware header Corporatio 0. Model: . Firmware version: Àø.
663956        0xA2194         Broadcom firmware header Corporatio . Model: . Firmware version: Àð.
664027        0xA21DB         Intel x86 or x64 microcode, pf_mask 0x01, 0003-00-00, rev 0x-1000000, size 1
664051        0xA21F3         Intel x86 or x64 microcode, pf_mask 0x00, 0001-00-00, rev 0x-1fe0200, size 4026547200
664059        0xA21FB         Intel x86 or x64 microcode, sig 0x00000003, pf_mask 0xf0003c00, 0000-FF-00, size 1006694401
664209        0xA2291         Intel x86 or x64 microcode, sig 0xcc00fc00, pf_mask 0xc600e600, 0000-7C-00, rev 0x3ff00, size 1056997120
665361        0xA2711         Intel x86 or x64 microcode, sig 0x0c000c00, pf_mask 0x87018601, 0000-0C-00, rev 0x3ff00, size 989888256
665721        0xA2879         Intel x86 or x64 microcode, sig 0x6000f800, pf_mask 0x30003000, 0000-F8-00, rev 0x3ff00, size 402659328
666314        0xA2ACA         Broadcom firmware header Corporatio ÿ. Model: à. Firmware version: .
666323        0xA2AD3         Intel x86 or x64 microcode, sig 0xff000000, pf_mask 0x8c018c00, 0000-00-00, rev 0x38003800, size 3590381057
666330        0xA2ADA         Broadcom firmware header Corporatio ÞÞ. Model: . Firmware version: üü.
666441        0xA2B49         Intel x86 or x64 microcode, sig 0xe0000000, pf_mask 0xfc00cc00, C000-E0-03, rev 0x3ff00, size 2197915393
666477        0xA2B6D         Intel x86 or x64 microcode, sig 0xfc000000, pf_mask 0x600fe00, E000-70-01, rev 0x3ff00, size 4278255360
666936        0xA2D38         Broadcom firmware header Corporatio Ü. Model: Ì. Firmware version: .
666961        0xA2D51         Intel x86 or x64 microcode, pf_mask 0x3ff00, 0000-00-00, size 3993081857
667053        0xA2DAD         Intel x86 or x64 microcode, sig 0xe0033801, pf_mask 0xfc00cc00, C000-F0-00, rev 0x3ff00, size 2197915393
667089        0xA2DD1         Intel x86 or x64 microcode, sig 0x8e01fc00, pf_mask 0xc7000300, 0000-F0-00, rev 0x3ff00, size 503322624
667629        0xA2FED         Intel x86 or x64 microcode, sig 0x0000e601, pf_mask 0xfe01fc01, 3800-FC-03, rev 0x3ff00, size 3187801856
667665        0xA3011         Intel x86 or x64 microcode, sig 0xfc000001, pf_mask 0x18003800, F000-98-00, rev 0x3ff00, size 2113961472
668043        0xA318B         Intel x86 or x64 microcode, pf_mask 0x03, 0000-00-00, size 2048
668205        0xA322D         Intel x86 or x64 microcode, sig 0x00019801, pf_mask 0xfe01fc01, 0000-98-00, rev 0x3ff00, size 3187801856
668241        0xA3251         Intel x86 or x64 microcode, sig 0xf8000001, pf_mask 0xc301c701, 9800-98-01, rev 0x3ff00, size 1040219904
668419        0xA3303         Intel x86 or x64 microcode, sig 0x30003000, pf_mask 0x30003000, 3003-30-00, rev 0x-1000000, size 805318656
668493        0xA334D         Intel x86 or x64 microcode, sig 0xf8019801, pf_mask 0xfe01fc01, F000-F8-00, rev 0x3ff00, size 3187801856
668529        0xA3371         Intel x86 or x64 microcode, sig 0xce03fc03, pf_mask 0xcf01db01, 0000-78-00, rev 0x3ff00, size 989888256
669069        0xA358D         Intel x86 or x64 microcode, pf_mask 0x00, 0000-00-00, rev 0x3ff00, size 2048
669177        0xA35F9         Intel x86 or x64 microcode, sig 0x00019c00, pf_mask 0xff01ff01, 6000-F8-00, rev 0x3ff00, size 2080439808
